cid,MP
7808,['66.4 °C']
8499,['48 °C']
5734,"['161-163 °C', '160-163 °C', '161 - 163 °C']"
2406,"['365.9 to 367.7 °F (NTP, 1992)', '188 °C', '188 °C']"
31229,['-30 °C']
15415,"['less than 68 °F (NTP, 1992)']"
3286,"['9 to 10 °F (EPA, 1998)', '-12 to -13 °C', '-12 - -13 °C', '9-10 °F', '10 °F']"
3182,"['155-157', '158 °C', '161.5 °C']"
38945,"['246-266 °C', '246 - 266 °C']"
5143,"['greater than 572 °F (Decomposes) (NTP, 1992)', '228 °C decomposes', '224 °C']"
3690,"['39-41 °C', '39-41 °C', '39 - 41 °C']"
23664719,"['235 to 241 °F (NTP, 1992)', '130-140 °C', 'Mp: 113-116 °C /Sodium methanearsonate sesquihydrate/', 'Mp: 132-139 °C /Sodium methanearsonate hexahydrate/']"
7728,"['-94.5 °F (USCG, 1999)', '-70.3 °C (freezing point)', '-70.9 °C', '-70 °C']"
8186,['-4 °C']
702,"['-173.4 °F (NTP, 1992)', '-114.1 °C', '-114.14 °C', '-114.1 °C', '-114  °C', '-173 °F', '-173 °F']"
3869,"['188 °C', '195 - 196 °C']"
17038,"['321 °F (Decomposes) (NIOSH, 2023)', '160-161 °C; decomposes slowly at melting point', '160 - 161 °C', '160-161 °C', '321 °F (decomposes)', '321 °F (Decomposes)']"
10565,"['280 °C (decomposes)', 'Red-violet crystals; MP: decomposes; Decomposes in hot water; soluble in acids; insoluble in cold water /Cobalt(II) carbonate, basic/']"
10635,"['181 °C', '181 °C']"
7430,"['374 to 378 °F (NTP, 1992)', '195 °C', '195 °C']"
3394,"['110-111 °C', '110 - 111 °C']"
14821,['1700 °C']
7628,"['340 °F (NTP, 1992)', '169', '171 °C', '170.9 °C', '171 °C', '340 °F']"
7619,['80 °C']
3516,"['78.5-79', '78.5-79 °C', '78.5 °C']"
25711,"['339.6 to 342.5 °F (NTP, 1992)']"
2882,"['421 to 423 °F (NTP, 1992)', '241 dec °C', '241-242 °C (decomposes)', 'WHITE OR CREAMY-WHITE POWDER; MP: 241-242 °C (DECOMPOSES)', '241 - 242 °C']"
2723816,['210 °C']
86137,['166.0 to 166.7 °C']
8158,"['12.4 °C', '12.3 °C']"
5340,"['396.5 °F (Form I); 347 °F (Form II) (NTP, 1992)', '189 °C', '175 °C (form a); 202 °C (form b)', '189 °C']"
10176,['170.4 °C']
47326,['45-50 °C']
4909,"['538 to 540 °F (NTP, 1992)', '281.5 °C', '281.5 °C', 'MP: 281-282 °C', '281.5 °C']"
456255,['182-184']
8221,"['59.5 °C', 'Heat of fusion at melting point = 7.4057X10+7 J/kmol (for the gamma phase, no selection of the alpha phase, crystal I can be made).', '59.5 °C', '59.8 °C']"
8020,"['-157 °F (USCG, 1999)', '-105 °C', '-105 °C', '-157 °F', '-157 °F']"
32898,"['less than 140 °F (USCG, 1999)', 'FP: LESS THAN 140 °F= LESS THAN 60 °C= LESS  THAN 333 DEG K', '7 °C']"
5462328,"['173 °C', '173 °C']"
7440,"['86 to 88 °F (NTP, 1992)', '30-31 °C']"
12388,"['22.1 °F (NTP, 1992)', '-5.35 °C', '-5.5 °C']"
67000,['110 - 117 °C']
54670067,"['374 to 378 °F (decomposes) (NTP, 1992)', '191 dec °C', 'Between 189 °C and 193 °C with decomposition', '190-192 °C (some decomposition)', 'Melting point = 465.15 deg K, decomposes.', '191 °C']"
11271,['-69 °C']
6432115,"['-54 °F (USCG, 1999)', '-48 °C', 'Heat of Vaporization: 4.9201X10+7 J/kmol @ melting point', 'Surface Tension: 0.045796 Newtons/m @ melting point', '3.5 °C']"
28936,['77 °C']
3011155,"['209-217 °C (with decomposition)', '209 - 217 °C (decomposition)']"
656516,['223-226 °C']
1548887,"['183 °C', '183 °C']"
736366,"['388 °F (EPA, 1998)', '198 °C', '198 °C', '388 °F']"
96,"['36.5 °C', '36.5 °C']"
7343,"['-103 °F (NTP, 1992)', '-75 °C', '-103 °F']"
135,"['214.5 °C', '213.00 to 215.00 °C. @ 760.00 mm Hg']"
23741,"['77 to 81 °F (NTP, 1992)']"
12375,"['-101 °F (NTP, 1992)', '-74 °C', '-74 °C']"
25157,['113 °C']
8038,"['-142.8 °F (USCG, 1999)', '-98.8 °C', '-98.85 °C', '-99 °C', '-145 °F', '-145 °F']"
3114,"['94.5-95 °C', '94.5 - 95 °C']"
6431,['-100.015 °C']
261,"['-146 °F (NTP, 1992)', '-96.86 °C', '-99 °C', '-99 °C']"
8717,"['154 °F (NTP, 1992)', '68 °C']"
25914,"['-108 °F (NTP, 1992)', 'Freezing point: -78 °C']"
239,"['200 dec °C', '200 °C']"
7865,"['-147.6 °F (NTP, 1992)', '-99.8 °C', '-100 °C', '-148 °F', '-148 °F']"
7934,"['-22.7 °F (USCG, 1999)', '-31.3 °C', '-30 °C', '-23 °F', '-23 °F']"
2735122,['167 °C']
7822,"['-70 °F (NIOSH, 2023)', '-56.7 °C', '-70 °F']"
54738,"['171 °C', 'MP: 160-180 (decomposes) /Imazapyr isopropylamine salt/']"
6197,"['247 to 250 °F (EPA, 1998)', '119.5-121 °C; also listed as 115-16 °C', 'Glistening plates from methanol; mp: 148-149; specific optical rotation: +22 deg @ 25 °C/D (2.3% in methanol) /Cycloheximide acetate/', '119.5-121 °C']"
445154,"['254 °C', '253-255 °C', 'MP: 261 °C (decomposes)', '254 °C']"
15660,"['140-143.6 °F (cis-cis) 147.2-149 °F (trans-trans) (NTP, 1992)']"
12468,"['122 to 126 °F (NTP, 1992)', '51 °C']"
3033637,"['130-132 °C', '203 °C']"
24518,"['97 °F (USCG, 1999)', '-18 °C /hydrate/', '~110 °C']"
700999,"['309 °F (NTP, 1992)', '154 °C']"
7488,"['82-84 °C', '79.5-84 °C']"
7812,"['162.5 °F (NTP, 1992)', '72.5 °C', '69-72.5 °C', '162.5 °F']"
867,"['276.1 °F (NTP, 1992)', '135 dec °C', '135-137 °C', '135 °C']"
379,"['61 to 62 °F (NTP, 1992)', '16.3 °C', '16.5 °C', '16.5 °C']"
31200,"['0.3 °C', '3.4 °C', '0.3 °C']"
10812,"['-63.8 °C', '-63.75 °C']"
11509,['-55.5 °C']
8016,"['23.9 °F (NTP, 1992)', '-3 °C', '-4.5 °C']"
7824,"['-96 °F (NTP, 1992)', '-71 °C']"
7390,"['-62 °F (NTP, 1992)', '-52 °C', '-62.5 °C', '-62 °F', '-62 °F']"
12086,['112 - 113 °C']
17517,['88 - 93 °C']
6001,"['252 to 253 °F (NTP, 1992)', '123 °C']"
41381,['55-56 °C']
9134,['158 °C']
8049,['5 °C']
5324346,['120-121.5 °C']
8438,"['99 °F (NTP, 1992)', '37 °C', 'MP: 35.5-37 °C', '37 °C']"
263,"['-129 °F (USCG, 1999)', '-89.8 °C', '-88.6 °C', '-89.8 °C', '-90 °C', '-129 °F', '-129 °F']"
27902,['98.5 °C']
7551,['75-76 °C']
4021,"['261 to 266 °F (NTP, 1992)', '129.7', '127 °C']"
20138,"['-105 °F (EPA, 1998)', '-69 °C', '-76.5 °C (trans), -69 °C (cis)', '-101 °F', '-101 °F']"
56330,['98 ºC with decomposition']
4891,"['136 °C', '136 °C']"
10927,"['114.8 °C', '115-116 °C', '115 - 116 °C']"
2678,"['110-115°C', '110-115 °C', '112.5 °C']"
8434,"['ofp-hydroxybenzoic acid isolated by acidification and not recrystallised: 213 °C to 217 °C, after vacuum drying in a sulphuric acid desiccator', '117 °C', '116 °C']"
8864,['-83.9 °C']
938,"['457 °F (NTP, 1992)', '236-239', '237 °C', 'Mol wt: 139.11. Needles; MP: 254-255 °C. Slightly soluble in cold water, more soluble in hot water, hot glacial acetic acid, hot methanol, less soluble in ethanol. Insoluble in light petroleum, benzene, chloroform. UV max (0.1N H2SO4): 220, 260 nm (epsilon 22400, 10200) /Nicotinic acid, 1-oxide/', '236.6 °C', '236.6 °C']"
92425,"['201-204 °C', '201 - 204 °C']"
9576037,['217 °C']
6119,['335 °C']
7174,['75 °C']
16043,"['261 to 264 °F (NTP, 1992)', '126.5-128.5 °C', '127 - 129 °C']"
16582,['33 °C']
69751,['199 - 200 °C']
3465817,"['260 to 262 °F (NTP, 1992)']"
2130,"['180-192', '160-190 °C (closed tube); Also reported as 180-192 °C', '180 °C']"
5078,"['178-180', '178 - 180 °C']"
81530,['-20 to -25 °C']
836,['270 °C']
31218,"['-54 °F (NTP, 1992)', '-48 °C', '-48 °C']"
6419,"['-20 °F (NTP, 1992)', '-28.78 °C', '-29 °C', '-20 °F']"
13636,"['237 to 241 °F (NTP, 1992)', '115 °C', '115 °C']"
5320,"['360 to 363 °F (NTP, 1992)', '183 °C', '183 °C']"
7358,"['-173 °F (USCG, 1999)', 'LESS THAN -15 °C']"
5447130,"['457 to 464 °F (decomposes) (NTP, 1992)', '238 dec °C', '238 °C', '457-464 ° F']"
31246,"['-27 °F (NIOSH, 2023)', '-33 °C', '-34 °C', '-33 °C', '-27 °F', '-27 °F']"
16846,['-51 - -52 °C']
8091,"['-40 °C', '-40 °C']"
27189,"['75 °C', 'Melting point: 74.8-75.5 °C when pure (technical is 68-70 °C)']"
356,"['-70.2 °F (USCG, 1999)', '-56.73 °C', '-56.8 °C', '-56.8 °C', '-70 °F', '-70 °F']"
34697,"['-31 °F (NTP, 1992)']"
24720996,['196 °C /Zolpidem/']
11163,['215 °C']
4539,"['227-228 °C', '220-221 °C', '227 - 228 °C']"
2801,"['191.5-192', '189.5 °C']"
8266,"['406 to 410 °F (NTP, 1992)', '208-210 °C, sealed tube; 230-235 °C, open tube', 'Melting point: decomposes to the anhydride.']"
7900,"['-139 °F (NTP, 1992)', '-95 °C', '-96 °C', '-139 °F (sets to glass)', '-139 °F (Sets to glass)']"
8117,"['14 °F (NTP, 1992)', '-10.4 °C', '-6.5 °C']"
7280,"['43 °F (NTP, 1992)', '5 °C', '6 °C', '43 °F', '43 °F']"
3958,"['192-194', '166 - 168 °C']"
7076,"['192 °F (NIOSH, 2023)', '87 °C', '192 °F']"
10009,['147.2 °F']
29910,"['360 °F (NTP, 1992)', '199 °C', '182 °C', '360 °F', '360 °F']"
6978,"['243 °F (NTP, 1992)']"
2519,"['460 °F (NTP, 1992)', '235-237', '236.2 °C', '238 °C', '235 °C']"
6334,"['-305.9 °F (USCG, 1999)', '-187.6 °C', '-189.9 °C', '-189.7 °C', '-306 °F', '-306 °F']"
5954,"['315 to 318 °F (NTP, 1992)', '155-157 °C', '162 °C', '315-318 °F']"
30479,"['257 °F (NIOSH, 2023)', '126.2 °C', '125 °C', '257 °F', '257 °F']"
12741,['14 °C']
62335,['228 - 229 °C']
4650,"['240.3 °F (NTP, 1992)', '115.7 °C', 'Heat of fusion at melting point = 1.845X10+7 J/kmol', '115.7 °C', '116 °C', '240 °F']"
8518,"['228.7 °C (decomposes)', 'White needles from water crystallizing with 2 molecules of water; MP: 160 °C with decomposition, at 55 °C gives up 2 water molecules; soluble in alcohol /2,3,6-Trinitrobenzoic acid/', 'Yellow needles from ether crystallizing with 1 molecule of ether; MP: 168 °C with decomposition; soluble in ether /3,4,5-Trinitrobenzoic acid/', 'Yellow leaves or plates from water; MP: 194.5 °C with decomposition; soluble in alcohol, ether, benzene, water /2,4,5-Trinitrobenzoic acid/']"
838,"['412 to 414 °F (NTP, 1992)', '157']"
67678,"['260.5 dec °C', '260.5 °C']"
86222,['-22.1 °C']
14783,['approximately 1480 °C']
521529,['Decomposes at 350']
11005,"['129 °F (NTP, 1992)', '53.9 °C', '53.9 °C']"
6053,"['232 °F (decomposes) (NTP, 1992)', '114-117 °C', '114-117  °C', '232 °F', '237 °F']"
9444,"['442 to 446 °F (decomposes) (NTP, 1992)', '229 °C', '228-230 °C (decomposes)', '229 °C']"
7518,"['181 to 183 °F (NTP, 1992)', '82 °C']"
104926,"['60 °C', 'Crystals from m-hexane; mp: 68-69 °C; specific optical rotation: -2.1 deg at 20 °C/D (concentration by volume= 1.0 g in 100 ml chloroform) /(1R)(3S)(alpha S)-cyfluthrin/', 'Crystals; mp: 50-52 °C; specific optical rotation: +24.5 deg at 20 °C/D (concentration by volume= 1.0 g in 100 ml chloroform) /(1R)(3R)(alpha S)- Cyfluthrin/', '60 °C']"
15337,"['352 to 356 °F (EPA, 1998)']"
7418,"['232 to 235 °F (NTP, 1992)']"
5281873,"['Below 10 °C', '49.2 °C']"
9731,"['30.6 °F (USCG, 1999)', '-1.9 °C']"
7837,['freezing pt: -41.5 °C']
205586,['FP: 9 °C']
4211,"['171 to 172 °F (NTP, 1992)', '77 °C', '77 °C', '77 °C']"
4420,"['80.6 °F (USCG, 1999)', '27 °C', '26 °C', '26.5-27.5 °C', '80 °F', '80 °F']"
6151,['77-79']
9300,"['140 °F (NIOSH, 2023)', '60-60.5 °C', '140 °F', '140 °F']"
94686,['133.1 - 133.5 °C']
8946,['51-52 °C']
8474,"['Decomposes without melting (NTP, 1992)']"
11087,"['297 to 298 °F (NTP, 1992)']"
2901,"['330 dec °C', '330 °C, DECOMP']"
33500,['32.1 to 32.5 °C']
447,"['316 °F (NTP, 1992)', '158 °C', '158 °C']"
31337,"['214 °C (pure)', 'MP: 180 °C (usual lab product); 175-176 °C (technical grade)']"
119,['203 °C']
86418,['143 - 144 °C']
18392,"['-48.3 °F (NTP, 1992)']"
787,"['91.49 °F (USCG, 1999)', '33 °C', '33 °C', '33 °C']"
5853,"['181 to 183 °F (NTP, 1992)', '82.2 °C', '83-84 °C', '181-183 °F']"
7732,"['135 °F (NTP, 1992)', '57.2 °C', '57.2 °C', '57 °C', '135 °F']"
3610,"['154 to 156 °F (NTP, 1992)', '62 to 67 °C', '67.5-69 °C', '68 - 70 °C']"
5383,['161.5-164 °C']
999,"['76.7 °C', '76.7 °C', '76.5 °C']"
6527,"['11 °C', '11 °C', '-22-(-)13 °F', '52 °F']"
7668,"['-146.2 °F (USCG, 1999)', '-99.5 °C']"
452548,"['242-246 °C', '242-246 °C']"
213032,['140.3-141.8 °C']
73281,"['172 °C', 'MP: 169-172 °C; 140-161 °C (technical)']"
638088,"['255 to 257 °F (NTP, 1992)', '124 °C']"
9257,['120-121 °C']
21013,"['241 °F (NTP, 1992)', '116.5 °C', '241 °F']"
2286,"['46 to 54 °F (NTP, 1992)', '8-12 °C', '43 °C', '8-12 °C', '46-54 °F']"
10045,['5.6 °C']
8086,"['107.6 °F (NTP, 1992)', '32-42 °C', '42 °C']"
6781,"['27 °F (NTP, 1992)', '-40.5 °C', '-67 - -44 °C', '-41 °F', '-41 °F']"
83975,"['68-70 °C', 'MP: 60-80 °C /Technical/', '60-80 °C']"
3463,"['58-61', '62 °C', '61 - 63 °C']"
7819,"['-78 °F (USCG, 1999)', '-61 °C']"
264,"['17.8 °F (NTP, 1992)', '-5.7 °C', '-7.9 °C', '-5.7 °C', '-7.9 °C']"
6270,"['284 °F (EPA, 1998)', '140 °C']"
115237,['179.8 °C']
7670,"['-82.3 °F (NTP, 1992)', '-63.5 °C', '-63 °C']"
7770,['-95.2 °C']
1480,"['316 °F (NTP, 1992)', '153 °C', '153-158 °C', '316 °F', '307 °F']"
15413,"['-164.2 °F (USCG, 1999)', '-108.6 °C', '-109 °C', '-164.2 °F']"
246728,['-23.00 °C. @ 760.00 mm Hg']
15530,"['212-213 °C', 'CREAM POWDER; FAINT PHENOLIC ODOR; MELTING POINT: 200 °C /TECHNICAL PRODUCT/', '212-213 °C']"
8258,"['36.7 °F (USCG, 1999)', '2.6 °C']"
6572,"['-40 °F (EPA, 1998)', '-40 °C']"
50367,['106.1 °C']
6318,"['469 °F (NTP, 1992)', '243 °C', '243 °C', 'MP: 44 °C /p-Chlorobenzoic acid, methyl ester/', '243 °C']"
5373773,['Solidifies below -25 °C']
3048,"['Decomposes at 473 °F. (EPA, 1998)', 'Approximately 200 °C (rearranges above that point)', '226 - 230 °C', '200 °C', '473 °F (decomposes)', '392 °F (Decomposes)']"
68617,['245-246']
7716,['-14.4 °C']
948,"['-131.5 °F (USCG, 1999)', '-132 °F (NIOSH, 2023)', '-90.81 °C', '-90.8 °C', '-90.6 °C', '-90.8 °C', '132 °F', '-132 °F']"
439242,['80 °C']
11461,['110.5 °C']
4781,"['219 to 225 °F (NTP, 1992)', '105 °C', '105 °C', 'MP: 140-141 °C (solidifies and remelts at approximately 180 °C) /Phenylbutazone piperazine salt/', '105 °C']"
82916,['-70 TO -69 °C']
2180,"['223-226 °C', '214 °C']"
33255,['198-200 °C (decomposes)']
7842,"['-77.9 °F (EPA, 1998)']"
5365125,['-60 °C']
5798,"['338 to 342 °F (NTP, 1992)', '170.5 °C', '170.5 °C']"
6937,['46 °C']
11883,"['141.8 °F (USCG, 1999)', '58.0 °C', '58 °C']"
55492,['300 °C']
8012,"['-176.2 °F (USCG, 1999)', '-115.9 °C', '-119 °C', '-116 °C', '176.2 °F', '-176 °F']"
2708,"['147 to 151 °F (NTP, 1992)', '65 °C', '65 °C', '65 °C']"
681,"['128 °C', '128 °C']"
7478,"['185 °C', '185 °C']"
19427,['117.5 °C']
11089,"['329 to 336 °F (NTP, 1992)', '161-163.5 °C', '161-163.5 °C', '329-336 °F', '322 °F']"
24934,"['1310 °F (decomposes) (NTP, 1992)', '710 °C (decomposes)']"
2086,"['210 to 214 °F (EPA, 1998)', '99-100 °C', '100 °C', '210-214 °F']"
10997,['Greater than 300 °C']
21864436,"['531 °F approximately (NTP, 1992)']"
995,"['212 °F (NTP, 1992)', '99 °C', '212 °F']"
7616,"['-136.3 °F (NTP, 1992)', '-93.5 °C', '-93.5 °C']"
1031,"['-195.2 °F (USCG, 1999)', '-126.1 °C', '-127 °C', '-126.1 °C', '-127 °C', '-196 °F', '-196 °F']"
14138,['49 - 51 °C']
11899,"['84 to 90 °F (NTP, 1992)', '34 °C', '30-33 °C']"
6954,"['252 °F (NIOSH, 2023)', '251 to 253 °F (NTP, 1992)', '121 °C', '122 °C', '252 °F']"
11864,"['-53 °F (NTP, 1992)']"
7104,"['222-223 °C', 'Lemon to greenish yellow, odorless powder, MP: 218 °C (minimum) /Commercial product, 98% purity/', '220 °C']"
6654,"['-67 °F (NTP, 1992)', '-62.5 °C', '-67 °F']"
699414,['173 - 175 °C']
85991,['187 °C']
6112114,['97.2-101.7 °C']
12597,"['60-63', '61-64 °C']"
12437,['-1.2 °C']
5994,"['250 to 252 °F (NTP, 1992)', '128-132', '129 °C', '121 °C', '250-252 °F']"
61253,"['Between 99 °C and 102 °C after drying at 90 °C for six hours', '94 - 95 °C']"
3305,['198-199']
8369,"['324 to 327 °F (NTP, 1992)', '161.5 °C', '161 - 162 °C']"
439568,"['216 °C', 'Crystals from petroleum ether. sublimes on heating, MP: 212 °C (in a sealed tube). Practically insoluble in water. Readily soluble in alcohol, ether, chloroform /dl-Isoborneol/', 'Crystals from petroleum ether. MP: 214 °C. Approx optical rotation: +34.3 deg in alcohol solution /d-Isoborneol/', 'Crystals from petroleum ether. MP: 214 °C; Approx optical rotation -34.3 deg in alcohol solution /l-Isoborneol/']"
5371562,"['129 to 131 °F crystals; 77 to 86 °F commercial product (EPA, 1998)', '54-55 °C', '54 - 55 °C', '54-55 °C', '129 °F', '129 °F']"
7947,"['-49 °F (NIOSH, 2023)', '-44.8 °C', 'Liquid Molar Volume= 0.139524 cu m/kmol; IG Heat of Formation= -1.59X10+7 J/kmol; Heat of Fusion at the melting point= 9.5144X10+6 J/kmol', '-44.7 °C', '-45 °C', '-49 °F']"
23681045,['Decomposes at 165-200 °C']
6979,"['241 to 243 °F (NTP, 1992)', '116.5 °C']"
7838,"['-148 °F (NTP, 1992)', 'FREEZING POINT: FORMS GLASS @ -100 °C', '-100 °C', '-148 °F [forms glass]', '-148 °F [forms glass]']"
5743,"['504 to 507 °F (NTP, 1992)', '260-264', '262-264 °C', '262 °C']"
3598,"['322 to 333 °F (NTP, 1992)', '161-163', '165.5 °C', '164-165 °C']"
5002,['174-176']
6368,"['-179 °F (USCG, 1999)', '-118.6 °C', '-117 °C']"
36383,"['182 to 194 °F (NTP, 1992)', '93-98 °C (98% pure)']"
21208,"['322 °F (NTP, 1992)', '161 °C']"
7288,"['-44 °F (USCG, 1999)', '-39 °C', '-42 °C', '-44 °F', '-44 °F']"
8413,"['264 to 268 °F (NTP, 1992)', '129-131 °C', 'MP: 264 °F', '131-132 °C', '264 °F', '264 °F']"
8569,"['74', '68 °C', 'MP: 70.6-77.2 °C']"
5483874,['97.2-101.7 °C']
5284583,"['115-119C', '117 °C']"
7963,"['38.5 °F (NTP, 1992)', '3.68 °C', '3.7 °C']"
8373,"['225 to 226 °F (NTP, 1992)', '103.7 °C']"
2566,"['302 to 307 °F (EPA, 1998)', '153.2 °C', 'Melting point = 153-154 °C (pure); 150-152 °C (technical)', '150 - 152 °C', '153 °C', '304 °F', '304 °F']"
24924,['470 °C']
11428,['-8 °C']
3998,['177']
5995,"['244 to 252 °F (NTP, 1992)', '118-123 °C']"
6629,"['less than -40 °F (NTP, 1992)', '-9 °C']"
93541,['176-179 °C']
7884,['-30 °C']
8103,"['-48.3 °F (USCG, 1999)', '-44.6 °C', '-44.6 °C', '-44.6 °C']"
6365,"['-143 °F (NTP, 1992)', '-96.93 °C', '-98 °C', '-143 °F', '-143 °F']"
192197,"['185', '185-188 °C', 'CRYSTALS; MP: 137-139 °C /DIACETATE/', 'CRYSTALS FROM PETROLEUM ETHER; MP: 127-128 °C /DIPROPIONATE/']"
148124,"['232 °C', '232 °C', '232 °C']"
28015,"['63 °F (USCG, 1999)', '350 °C', 'Turns yellow upon heating in dry air, changing to orange at higher temperatures. Forms a black liquid at the melting point. Gives a blue-green solution in dimethylformamide. Very hygroscopic. Readily hydrolyzed in moist air to NaOH and Na2S.']"
7211,['-40 °C']
6741,"['232.5 °C', '228-237 °C', '232.5 °C']"
24744,"['289 to 291 °F (NTP, 1992)', '139-142 (143-144 °C)']"
31260,"['-179 °F (NIOSH, 2023)', '-117.2 °C', '-117.2 °C', '-117 °C', '-179 °F']"
790,"['150 dec °C', '150 °C']"
323,"['154 to 158 °F (NTP, 1992)', '71 °C', '71 °C', '68-70 °C']"
7261,"['210 °F (NTP, 1992)', '99 °C', '99 °C', '99 °C', '210 °F', '210 °F']"
370,"['432 to 464 °F (decomposes) (NTP, 1992)', 'sublimes at 210', 'Sublimes at 210 °C giving a stable form with melting point 258 to 265 °C (dec) and an unstable form with melting point 225 to 230 °C', '258 - 265 °C']"
8461,"['153 to 158 °F (NTP, 1992)', '70.5 °C', '71 °C', '158 °F']"
11584,['Freezing point: -96 °C']
16850,"['Decomposes at 554 °F. In sealed tube, melts at 597-601 °F with decomposition (NTP, 1992)', '315 dec °C', '315 °C (decomposes)', '315 °C']"
12232,"['-120.5 °F (NTP, 1992)', '-84.67 °C', '-85 °C', '-85 °C', '-120.5 °F']"
8023,"['-175 °F (USCG, 1999)', '-115.8 °C', '-115 °C']"
169132,"['-76 °F (NTP, 1992)', 'Approximately -60 °C', '-60 °C', '-76 °F', '-76 °F']"
6405,"['-9.1 °C', '-8.4 °C']"
2477,"['201.5-202.5', '201.5 - 202.5 °C']"
6042,"['164 °C', 'MP: 248 °C, DECOMP /HYDROCHLORIDE/']"
12471,"['163 to 167 °F (NTP, 1992)', '78.5 °C']"
3152,['223-227']
516872,['173 °C']
3339,"['79-82', '80-81 °C', '80.5 °C']"
60838,"['222-223 °C', '222-223 °C', '222 - 223 °C']"
86426,['201.1 to 201.7 °C']
84029,"['220 dec °C', '217-220 °C (decomposes) ... Also reported as mp 222-225 °C', '217 - 220 °C']"
8051,"['-31 °F (USCG, 1999)', '-35.5 °C', '-35 °C', '-35.5 °C', '-32 °F', '-32 °F']"
6395,['20 °C']
2723650,"['397 to 399 °F (NTP, 1992)', '203 °C', 'ETHYLENE THIOUREA (ETU) IS AVAILABLE IN USA AS WHITE CRYSTALS OR FINELY-GROUND POWDER WITH A MELTING POINT OF 192 °C. IT IS ALSO AVAILABLE IN USA & JAPAN AS A WHITE POWDER WITH A MELTING POINT ABOVE 195 °C. IT IS AVAILABLE IN USA AS WHITE POWDER CONSISTING OF 80% DISPERSION OF ETU IN OIL.', '194 °C', '392 °F', '392 °F']"
17596,"['Melting point equals 281 °C.  [CAMEO]', '281 °C', '275 °C', '537.8 °F']"
6945,"['90 to 91 °F (NTP, 1992)', '32 °C', '33 °C']"
7835,"['-54.4 to -14.1 °F (EPA, 1998)', '-25.6 °C', '-57.2 °C', '-48 °C', '-54 °F', '-54 °F']"
61250,"['-190 °F (USCG, 1999)']"
14778,"['4662 °F (NIOSH, 2023)', '2613 °C', 'Lime becomes incandescent when heated to near its melting point (2500 °C)', '2570 °C', '4662 °F', '4662 °F']"
7860,"['59 °F (NTP, 1992)', '15 °C for pure glyoxal and approximately -10 °C for the 40% solution', '15 °C', '-14 °C', '59 °F']"
11146,"[""MP: 55 °C (ALPHA), 64.5 °C (BETA'), 73 °C (BETA)""]"
4685,"['127 °F (NTP, 1992)', '53 °C', '53.1 °C', '52.7 °C', '53 °C', '128 °F', '128 °F']"
91754,['111-112 °C']
6267,"['234-235 °C', '234-235 °C', '234 - 235 °C']"
9357,"['70-80 °C', '90-100 °C']"
5280953,['264 - 265 °C']
6924,"['156.3 °C', '156 °C']"
10367,['252 °C']
17004,['55 °C']
8108,['-92 °C']
135398634,"['360 dec °C', '360 °C (DECOMP)', '360 °C']"
24463,"['297 °F (dehydrates) (NTP, 1992)', 'Decomp above 110 °C']"
93542,['104.6 °C']
3957,"['134-136 °C', '134-136 °C', '134 - 136 °C']"
7543,"['210 to 225 °F (NTP, 1992)', '110 °C', '110 °C', '210-225 °F', '230 °F']"
7891,['-112 °C']
5273469,"['39 °C', 'MELTING POINT: 35-36 °C /TRANS/; 30 °C /CIS/']"
8489,"['115 °F (NTP, 1992)', '46 °C', 'Liquid molar volume = 0.117 cu m/kmol; IG Heat of Formation = 3.72X10+7 J/kmol; Heat of Fusion at melting point = 2.078X10+7 J/kmol', '44 °C']"
876,['281 °C']
12620,"['65-72 °C', '72.5 °C', '65 - 72 °C']"
8479,"['Decomposes without melting at 550 °F (NTP, 1992)', '288 °C decomposes without melting']"
707035,"['577 to 579 °F (NTP, 1992)']"
12568,['37 °C']
16929,['184 °C']
7420,['202 °C']
7438,"['208 °F (NTP, 1992)']"
7636,"['-130 °F (NTP, 1992)', '-90 °C', '-90 °C', '-130 °F']"
6199,"['171 °C', '171 °C']"
27982,['74-75 °C']
2478,"['237 to 244 °F (NTP, 1992)', '106-107', '114-118 °C', '287 °C']"
86122,['62-64 °C']
6343,"['-234 °F (USCG, 1999)', '-147.8 °C', '-144.4 °C', '-234 °F', '-228 °F']"
28417,"['224.2-226.8', '225.6 °C']"
91759,['250-251 °C']
19756,"['536 to 550 °F decomposes (EPA, 1998)']"
11487,"['129 to 131 °F (NTP, 1992)', '53-54 °C', '52 - 54 °C', '53 °C', '127 °F', '127 °F']"
86354,['64-66 °C; 61-62 °C /Technical/']
61221,['105 °C']
3224,"['158 to 212 °F Range of values given is for a mixture of isomers (a isomer 228.7 °F; b isomer 415.9 °F). (EPA, 1998)', '106 °C (pure)', 'MP: 70-100 °C; stable toward dil mineral acids; hydrolyzed rapidly by alkalies; commercial product is a mixture of alpha-isomer, MP: 108-110 °C, and beta-isomer, MP: 208-210 °C /Technical/', '106 °C (pure), 70-100 °C (technical)', '223 °F', '223 °F']"
23284,"['Freezing point: -70 °C', '-94 °F']"
284,"['47.1 °F (NTP, 1992)', '8.3 °C', '8.3 °C', '8.4 °C', '8 °C', '20 °F (90% solution)', '20 °F (90% solution)']"
5780,"['230 °F (USCG, 1999)', '111', '88 to 102 °C', '111 °C', '11 °C', '110-112 °C']"
8252,"['-301.4 °F (NTP, 1992)', '-185.30 °C', '-185 °C', '-301.4 °F']"
135398745,"['189-195 °C', '195 °C']"
